,OLDID,VILLAGE,AREA,Type,LatGRS,LongGRS,Y_LO,X_LO,ORTHOH,lzon,SURVREC
9,1/107,MORWA,2424,BM,-24.440010611111116,24.070716,94197.94,2704046.61,942.15,25.0,847
16,1/113,RASESA,2424,BM,-24.3517885,24.06361675,94983.83,2694278.75,988.27,25.0,847
47,1/142,ARTESIA,2426,BM,-24.000805555555555,26.33297222222222,67839.732,2655243.749,940.25,27.0,
48,1/143,ARTESIA,2326,BM,-23.986722222222223,26.340888888888887,67041.481,2653680.051,935.79,27.0,
49,1/144,ARTESIA,2326,BM,-23.975666666666665,26.34736111111111,66388.508,2652452.449,933.14,27.0,
50,1/145,ARTESIA,2326,BM,-23.961805555555557,26.355694444444445,65547.412,2650913.264,919.16,27.0,
51,1/146,ARTESIA,2326,BM,-23.951027777777774,26.368277777777777,64271.968,2649713.704,918.27,27.0,
52,1/147,ARTESIA,2326,BM,-23.94077777777778,26.380305555555555,63052.61,2648572.97,920.33,27.0,
53,1/148,ARTESIA,2326,BM,-23.930444444444447,26.39247222222222,61818.959,2647423.0530000003,923.78,27.0,
54,1/149,ARTESIA,2326,BM,-23.921083333333332,26.406916666666664,60352.74,2646379.954,928.6,27.0,
56,1/150,ARTESIA,2326,BM,-23.91283333333333,26.420694444444447,58953.688,2645460.357,931.59,27.0,
57,1/151,ARTESIA,2326,BM,-23.90352777777777,26.435388888888887,57461.583,2644423.613,944.63,27.0,
58,1/152,ARTESIA,2326,BM,-23.894388888888887,26.448611111111116,56119.12,2643406.075,926.9,27.0,
59,1/153,ARTESIA,2326,BM,-23.88588888888889,26.46372222222222,54583.82700000001,2642458.697,925.45,27.0,
60,1/154,ARTESIA,2326,BM,-23.87594444444445,26.476777777777777,53258.285,2641352.276,925.06,27.0,
61,1/155,ARTESIA,2326,BM,-23.865916666666667,26.48986111111111,51929.74400000001,2640236.744,923.89,27.0,
62,1/156,DIBETE,2326,BM,-23.855944444444447,26.502944444444445,50600.976,2639127.491,929.7,27.0,
63,1/157,DIBETE,2326,BM,-23.84572222222222,26.516305555555554,49243.802,2637990.58,936.85,27.0,
64,1/158,DIBETE,2326,BM,-23.835555555555555,26.529722222222222,47880.732,2636859.937,931.22,27.0,
65,1/159,DIBETE,2326,BM,-23.82483333333333,26.543722222222225,46458.213,2635667.703,920.45,27.0,
67,1/160,DIBETE,2326,BM,-23.81002777777778,26.547777777777775,46050.22900000001,2634026.559,926.47,27.0,
68,1/161,DIBETE,2326,BM,-23.79527777777778,26.55219444444445,45605.326,2632391.4680000003,946.82,27.0,
69,1/162,DIBETE,2326,BM,-23.764388888888888,26.56588888888889,44220.157,2628965.987,963.88,27.0,
70,1/163,DIBETE,2326,BM,-23.750083333333333,26.57252777777778,43548.179,2627379.508,965.29,27.0,
71,1/164,DIBETE,2326,BM,-23.735833333333336,26.579027777777775,42890.195,2625799.261,965.4,27.0,
72,1/165,DIBETE,2326,BM,-23.72138888888889,26.58569444444444,42215.133,2624197.463,965.48,27.0,
74,1/167,DIBETE,2326,BM,-23.692555555555558,26.599277777777772,40839.035,2621000.059,960.84,27.0,
75,1/168,DIBETE,2326,BM,-23.68475,26.613750000000003,39365.32,2620131.475,958.31,27.0,
76,1/169,DIBETE,2326,BM,-23.677333333333333,26.62855555555556,37857.317,2619306.027,954.67,27.0,
